RecorderTimes,100,1,1,"Brockville, Ontario, Canada",3977,https://pbs.twimg.com/profile_images/459011424124022784/X99d4Fdy_normal.png
Knownlessalien0,96,5,5.20833,good vibes,213,https://pbs.twimg.com/profile_images/711248794797662208/m6YpJS6v_normal.jpg
LizDylan123,94,40,42.5532,"New York, NY",161,https://pbs.twimg.com/profile_images/571368687194484736/RMtEgSig_normal.jpeg
StarraAngelle,96,2,2.08333,United Kingdom,1829,https://pbs.twimg.com/profile_images/460208372739219456/vd-s2CBR_normal.jpeg
Fish_Feel,48,14,29.1667,none,2624,https://pbs.twimg.com/profile_images/657394729542406144/sHtZ2GoC_normal.png
TheLuckyKitten,92,2,2.17391,At home-Warm-Cared For-Growing,964,https://pbs.twimg.com/profile_images/736337516337434624/ue64T3f-_normal.jpg
KaitHovey,93,1,1.07527,937,259,https://pbs.twimg.com/profile_images/749177454590304256/rgxBWteA_normal.jpg
AlexisMurray,82,1,1.21951,"Dayton, OH",2314,https://pbs.twimg.com/profile_images/733343219723952131/a-1mgEtH_normal.jpg
SocialEarth,99,3,3.0303,Global,29042,https://pbs.twimg.com/profile_images/2626627012/ez0dwz36m18dtn5qkncg_normal.png
MomaDarlyne,100,2,2,none,1522,https://pbs.twimg.com/profile_images/735262718416936960/TfBm0sgk_normal.jpg
TheBrokeAssVeg,99,32,32.3232,none,1050,https://pbs.twimg.com/profile_images/643530022263910405/gBLu1QIo_normal.png
Vegan_David_,92,8,8.69565,UK,2879,https://pbs.twimg.com/profile_images/732301018625679360/AiGy5XOz_normal.jpg
Mygreatredmare,79,2,2.53165,none,104,https://pbs.twimg.com/profile_images/750741887758327808/fxpVdcBm_normal.jpg
kelbast44,93,57,61.2903,Washington State,2402,https://pbs.twimg.com/profile_images/632089823730253824/3P9MJ5ca_normal.jpg
Animal__People,100,8,8,"Washington, USA",640,https://pbs.twimg.com/profile_images/661393108748271616/zIlpjwMV_normal.jpg
RebeccaLHuggins,99,1,1.0101,"Glastonbury, England",532,https://pbs.twimg.com/profile_images/753958937813217281/CGGi2Ghy_normal.jpg
thezenfulvegan,13,3,23.0769,none,941,https://pbs.twimg.com/profile_images/737095481826914304/gB37YrvD_normal.jpg
Tysess,18,1,5.55556,West Country (UK),1192,https://pbs.twimg.com/profile_images/1763881355/twitter_normal.jpg
K_Herborn,86,6,6.97674,none,174,https://pbs.twimg.com/profile_images/463296241732816896/zNs76-Ix_normal.jpeg
kaatjeplanet5,99,3,3.0303,brabant,263,https://pbs.twimg.com/profile_images/702941384165076992/tkkNY4TQ_normal.png
UnderYourTree,96,9,9.375,Isle of Wight,651,https://pbs.twimg.com/profile_images/503689554360942592/L4CmolF3_normal.jpeg
ShubunkinHaven,95,1,1.05263,Facebook,137,https://pbs.twimg.com/profile_images/439823321949945856/rWrhAZOq_normal.jpeg
CherylDay_NHF,91,2,2.1978,Illinois,407,https://pbs.twimg.com/profile_images/689867671127605248/LawKEHvs_normal.jpg
JeffSimmons2050,94,3,3.19149,Indiana ,9195,https://pbs.twimg.com/profile_images/707998380539170816/hdKXY5Mt_normal.jpg
lily_oh_lily_,88,7,7.95455,Portland,178,https://pbs.twimg.com/profile_images/493470165799948288/ixmF8XE8_normal.jpeg
draegersmarket,100,1,1,San Francisco Bay Area,1103,https://pbs.twimg.com/profile_images/705858580335820800/WT2E2YUb_normal.jpg
InstAnimalTech,81,3,3.7037,UK,89,https://pbs.twimg.com/profile_images/736331962/avatar_normal.jpg
SuzeBujsaim,99,9,9.09091,Where I'm supposed to be...,564,https://pbs.twimg.com/profile_images/440100197448679424/B3he0gkA_normal.jpeg
HelpingPetsNE,99,1,1.0101,North East England,142,https://pbs.twimg.com/profile_images/378800000777815210/1ae88c0e561dc00dc0f1e181ed627986_normal.jpeg
davina_hill,100,1,1,"Edinburgh, UK ",440,https://pbs.twimg.com/profile_images/697150991024713728/yd_3GTDN_normal.jpg
FurKidsWyo,99,13,13.1313,"Gillette, Wyoming",376,https://pbs.twimg.com/profile_images/3688196062/90d7fd14089ee9881f43b169a8ae126c_normal.jpeg
lurainpenny,62,7,11.2903,On the Crest of a Wave!,2087,https://pbs.twimg.com/profile_images/680596062453633025/tI-TDbnv_normal.jpg
JacquieGam,88,11,12.5,"Boston, MA",127,https://pbs.twimg.com/profile_images/508992643477434368/WB_UYpuS_normal.jpeg
Best_Frd_Buddy,83,16,19.2771,"Atlanta, GA",339,https://pbs.twimg.com/profile_images/687321559925698560/XhkAXhoG_normal.jpg
KingArthur_2015,100,1,1,Sea Point | Cape Town |?,687,https://pbs.twimg.com/profile_images/752372421693497344/vwmgBlgt_normal.jpg
Greens4Animals,100,2,2,none,15233,https://pbs.twimg.com/profile_images/723230353880584193/g3vje-f4_normal.jpg
ZoeFoster4,87,3,3.44828,none,152,https://pbs.twimg.com/profile_images/560207875537387520/9ZmkRiYw_normal.jpeg
rougeblonde,97,2,2.06186,"Lorraine, France",29,https://pbs.twimg.com/profile_images/687017691153068033/Ue1JFkZg_normal.jpg
ca8f2676044e4e8,96,1,1.04167,Upstate New York,1175,https://pbs.twimg.com/profile_images/645321754311827456/JQ57tDlM_normal.jpg
GilchristGloria,99,2,2.0202,none,1517,https://pbs.twimg.com/profile_images/446519952523018240/Zxb_aDG__normal.jpeg
Islands_of_Cats,88,16,18.1818,Malta,239,https://pbs.twimg.com/profile_images/694154922019962880/hKx7PY3G_normal.jpg
SienaPhacet,100,1,1,SoCal,96,https://pbs.twimg.com/profile_images/378800000298080500/a484e3319ba3a4373a7a8d0d9c7f7afb_normal.jpeg
l_polizzotto,4,1,25,none,2,https://pbs.twimg.com/profile_images/754007037856485376/_kIspP6I_normal.jpg
rad_birdo,85,1,1.17647,public static void,415,https://pbs.twimg.com/profile_images/630681409951133696/XmUNixIT_normal.jpg
colin_olcot,97,2,2.06186,none,356,https://pbs.twimg.com/profile_images/651299721550561280/fXXWajDE_normal.jpg
grhluna25,96,1,1.04167,none,993,https://pbs.twimg.com/profile_images/747174845176229888/ctC1Br0c_normal.jpg
hairlossclinic1,100,1,1,Marbella. Spain,1905,https://pbs.twimg.com/profile_images/378800000340120960/758d71579189f5dcb2c096a8d75183b8_normal.jpeg
j10u0l8i2e4,98,1,1.02041,???,679,https://pbs.twimg.com/profile_images/735464183710371841/2MktJ_lE_normal.jpg
Sinmii_,98,1,1.02041,Finding Myself,450,https://pbs.twimg.com/profile_images/750254390611742720/AI1uzd35_normal.jpg
