user_id,category,total_tweets,relevant_tweets,interest_percent,suggested
2147483647,OLD,67,8,11.9403,yes
1095361568,OLD,100,4,4,no
707004281,OLD,84,2,2.38095,no
277584157,OLD,90,8,8.88889,yes
2147483647,WOMEN,100,9,9,no
924771235,animals,99,7,7.07071,no
2147483647,OLD,69,7,10.1449,yes
23937861,OLD,66,4,6.06061,no
2147483647,WOMEN,99,7,7.07071,no
70913249,HEALTH,100,2,2,no
1339750392,animals,200,4,2,no
1339750392,WOMEN,200,2,1,no
301753916,OLD,100,6,6,no
2147483647,OLD,89,9,10.1124,yes
2147483647,animals,66,3,4.54545,no
2147483647,animals,96,5,5.20833,no
2147483647,WOMEN,80,8,10,yes
57066215,CHILD,282,38,13.4752,yes
57066215,OLD,282,14,4.96454,no
140997419,CHILD,98,31,31.6327,yes
2147483647,WOMEN,68,9,13.2353,yes
2147483647,OLD,83,5,6.0241,no
2147483647,WOMEN,100,2,2,no
2147483647,OLD,100,13,13,yes
30935656,OLD,100,15,15,yes
2147483647,WOMEN,100,77,77,yes
14299788,animals,68,1,1.47059,no
23679123,OLD,94,3,3.19149,no
2147483647,HEALTH,100,2,2,no
207243704,OLD,85,6,7.05882,no
2147483647,HEALTH,59,7,11.8644,yes
2147483647,WOMEN,66,2,3.0303,no
2147483647,OLD,93,10,10.7527,yes
2147483647,CHILD,99,5,5.05051,no
2147483647,OLD,188,10,5.31915,no
244043879,OLD,100,6,6,no
488606544,HEALTH,100,4,4,no
1055890782,animals,95,8,8.42105,no
55985859,WOMEN,92,6,6.52174,no
71095966,OLD,96,4,4.16667,no
1684291656,OLD,88,7,7.95455,yes
1068801806,HEALTH,87,3,3.44828,no
2147483647,HEALTH,61,3,4.91803,no
186213027,OLD,83,3,3.61446,no
612515701,HEALTH,86,10,11.6279,yes
1390015285,OLD,95,4,4.21053,no
2147483647,OLD,77,6,7.79221,no
68911475,WOMEN,97,6,6.18557,no
2147483647,OLD,87,14,16.092,yes
522734979,animals,100,5,5,no
2147483647,WOMEN,64,6,9.375,yes
2147483647,WOMEN,95,5,5.26316,no
160282512,OLD,91,1,1.0989,no
2147483647,animals,69,4,5.7971,no
2147483647,OLD,22,2,9.09091,yes
2147483647,WOMEN,52,1,1.92308,no
157344514,WOMEN,84,3,3.57143,no
303641100,WOMEN,96,4,4.16667,no
494050494,WOMEN,98,1,1.02041,no
132600672,WOMEN,83,8,9.63855,yes
945437480,OLD,90,6,6.66667,no
2147483647,OLD,100,3,3,no
2147483647,WOMEN,100,21,21,yes
2147483647,animals,93,3,3.22581,no
2147483647,animals,75,5,6.66667,no
2147483647,OLD,88,4,4.54545,no
14660721,OLD,100,8,8,yes
547879720,OLD,198,16,8.08081,yes
621177850,OLD,100,8,8,yes
2147483647,OLD,93,4,4.30107,no
46992662,WOMEN,97,31,31.9588,yes
2147483647,OLD,77,1,1.2987,no
2147483647,OLD,100,1,1,no
1043903935,OLD,80,1,1.25,no
138993808,OLD,70,8,11.4286,yes
2147483647,animals,61,3,4.91803,no
68786805,HEALTH,69,4,5.7971,no
35315865,OLD,82,12,14.6341,yes
2147483647,animals,400,75,18.75,yes
2147483647,WOMEN,400,26,6.5,no
1307544762,WOMEN,87,4,4.5977,no
379221792,CHILD,94,13,13.8298,yes
23007689,OLD,85,3,3.52941,no
2147483647,WOMEN,100,11,11,yes
700393601,animals,92,4,4.34783,no
31115635,OLD,89,5,5.61798,no
64816005,OLD,100,7,7,no
2147483647,WOMEN,200,1,0.5,no
545416888,animals,44,5,11.3636,yes
115013442,OLD,87,5,5.74713,no
1675066015,OLD,100,8,8,yes
204977744,animals,100,7,7,no
2147483647,OLD,98,4,4.08163,no
580969280,OLD,192,30,15.625,yes
973864280,OLD,100,28,28,yes
175042206,OLD,93,9,9.67742,yes
2147483647,OLD,74,9,12.1622,yes
437109971,animals,93,10,10.7527,yes
94297570,OLD,95,11,11.5789,yes
2147483647,OLD,89,14,15.7303,yes
414856331,OLD,174,56,32.1839,yes
111272283,OLD,99,22,22.2222,yes
84598581,OLD,99,19,19.1919,yes
2147483647,OLD,93,29,31.1828,yes
2147483647,OLD,97,3,3.09278,no
1221152839,OLD,92,16,17.3913,yes
517901035,OLD,95,16,16.8421,yes
1243840225,OLD,100,24,24,yes
2147483647,OLD,94,26,27.6596,yes
97637085,OLD,97,9,9.27835,yes
2147483647,OLD,100,5,5,no
537373439,OLD,96,8,8.33333,yes
2147483647,OLD,98,10,10.2041,yes
1974470821,WOMEN,98,13,13.2653,yes
24966730,OLD,58,4,6.89655,no
2147483647,animals,84,9,10.7143,yes
2147483647,HEALTH,100,1,1,no
466616609,OLD,92,1,1.08696,no
2147483647,animals,90,2,2.22222,no
2147483647,OLD,78,6,7.69231,no
533980884,animals,100,3,3,no
47602328,OLD,89,15,16.8539,yes
745431103,OLD,98,9,9.18367,yes
2147483647,OLD,100,18,18,yes
85465989,OLD,81,6,7.40741,no
23732448,animals,79,1,1.26582,no
2147483647,OLD,75,3,4,no
2147483647,OLD,100,10,10,yes
20167619,CHILD,100,1,1,no
2147483647,WOMEN,96,9,9.375,yes
2147483647,animals,200,112,56,yes
408034079,OLD,65,4,6.15385,no
940336099,WOMEN,97,13,13.4021,yes
2147483647,OLD,95,3,3.15789,no
398925575,OLD,92,15,16.3043,yes
161497051,OLD,86,1,1.16279,no
2147483647,animals,92,4,4.34783,no
28306732,WOMEN,90,3,3.33333,no
2147483647,OLD,90,5,5.55556,no
2147483647,OLD,200,7,3.5,no
2147483647,WOMEN,200,7,3.5,no
1930718155,OLD,88,5,5.68182,no
14322323,animals,40,2,5,no
205638317,WOMEN,98,1,1.02041,no
219507743,WOMEN,56,8,14.2857,yes
99651909,WOMEN,85,10,11.7647,yes
207680173,OLD,84,8,9.52381,yes
2147483647,OLD,74,1,1.35135,no
2147483647,WOMEN,66,9,13.6364,yes
22794926,WOMEN,60,2,3.33333,no
383255035,animals,97,7,7.2165,no
325373865,WOMEN,86,8,9.30233,yes
338713546,CHILD,128,5,3.90625,no
338713546,HEALTH,128,5,3.90625,no
1601806597,OLD,100,18,18,yes
393706495,WOMEN,66,7,10.6061,yes
140985843,WOMEN,78,8,10.2564,yes
2147483647,OLD,99,7,7.07071,no
2147483647,OLD,97,12,12.3711,yes
1141130401,animals,299,27,9.0301,no
60916088,HEALTH,77,5,6.49351,no
313188318,CHILD,67,3,4.47761,no
805731360,HEALTH,77,7,9.09091,yes
2147483647,WOMEN,100,11,11,yes
14996887,animals,100,56,56,yes
2147483647,OLD,99,7,7.07071,no
2147483647,WOMEN,79,11,13.9241,yes
2147483647,OLD,53,3,5.66038,no
239437071,OLD,99,11,11.1111,yes
350253257,OLD,100,11,11,yes
361787439,WOMEN,100,4,4,no
254666190,animals,100,8,8,no
2147483647,CHILD,9,1,11.1111,yes
21126424,WOMEN,71,9,12.6761,yes
2147483647,animals,89,10,11.236,yes
2147483647,OLD,93,3,3.22581,no
2147483647,animals,92,7,7.6087,no
24521079,OLD,96,5,5.20833,no
462317666,OLD,95,2,2.10526,no
32820396,WOMEN,91,6,6.59341,no
550761614,OLD,62,3,4.83871,no
210214876,OLD,100,3,3,no
82878650,animals,100,12,12,yes
308680322,OLD,76,10,13.1579,yes
2147483647,WOMEN,98,9,9.18367,no
336145241,OLD,84,11,13.0952,yes
121434855,CHILD,92,2,2.17391,no
234110050,HEALTH,99,11,11.1111,yes
68087960,OLD,77,5,6.49351,no
359547887,animals,98,3,3.06122,no
2147483647,WOMEN,100,3,3,no
41615605,WOMEN,63,6,9.52381,yes
2147483647,WOMEN,100,10,10,yes
17278054,WOMEN,65,2,3.07692,no
140744227,OLD,76,4,5.26316,no
2147483647,WOMEN,91,27,29.6703,yes
2147483647,OLD,87,6,6.89655,no
253015454,OLD,100,8,8,yes
195908688,WOMEN,74,7,9.45946,yes
359004631,animals,100,1,1,no
2147483647,OLD,96,5,5.20833,no
246993396,WOMEN,99,10,10.101,yes
2147483647,OLD,71,2,2.8169,no
2147483647,animals,99,12,12.1212,yes
2147483647,OLD,84,3,3.57143,no
2147483647,OLD,53,5,9.43396,yes
2147483647,OLD,94,3,3.19149,no
2147483647,WOMEN,97,6,6.18557,no
2147483647,HEALTH,98,9,9.18367,yes
2147483647,WOMEN,78,2,2.5641,no
34253257,HEALTH,80,2,2.5,no
77122342,animals,194,157,80.9278,yes
2147483647,OLD,95,11,11.5789,yes
155722805,OLD,76,9,11.8421,yes
1217120953,OLD,57,5,8.77193,yes
373073651,WOMEN,95,14,14.7368,yes
91114064,OLD,85,11,12.9412,yes
2147483647,OLD,71,10,14.0845,yes
203243542,OLD,84,8,9.52381,yes
561284240,OLD,100,2,2,no
2147483647,OLD,89,12,13.4831,yes
365502992,HEALTH,71,3,4.22535,no
2147483647,HEALTH,74,2,2.7027,no
947056147,WOMEN,97,3,3.09278,no
2147483647,CHILD,98,9,9.18367,yes
518398023,WOMEN,99,13,13.1313,yes
2147483647,WOMEN,100,8,8,no
504811548,OLD,82,8,9.7561,yes
2147483647,WOMEN,99,8,8.08081,no
1921893792,animals,181,27,14.9171,yes
1087570051,animals,82,10,12.1951,yes
2147483647,animals,92,20,21.7391,yes
2147483647,animals,200,6,3,no
2147483647,OLD,200,6,3,no
2147483647,CHILD,93,4,4.30107,no
32751280,WOMEN,96,5,5.20833,no
2147483647,WOMEN,100,11,11,yes
2147483647,WOMEN,90,1,1.11111,no
2147483647,WOMEN,100,10,10,yes
213154413,OLD,97,6,6.18557,no
38731401,OLD,64,4,6.25,no
728639341,OLD,100,1,1,no
14433626,animals,98,17,17.3469,yes
43537280,WOMEN,78,9,11.5385,yes
2147483647,WOMEN,98,10,10.2041,yes
580753069,WOMEN,96,6,6.25,no
2147483647,WOMEN,100,12,12,yes
2147483647,CHILD,99,4,4.0404,no
2147483647,OLD,83,6,7.22892,no
479080560,OLD,72,4,5.55556,no
2147483647,OLD,100,5,5,no
2147483647,animals,100,6,6,no
2147483647,CHILD,100,12,12,yes
893576652,OLD,93,6,6.45161,no
1582177784,OLD,100,4,4,no
1448990809,WOMEN,77,8,10.3896,yes
22751215,WOMEN,98,11,11.2245,yes
1449739435,OLD,92,10,10.8696,yes
312989582,WOMEN,46,2,4.34783,no
2147483647,OLD,92,3,3.26087,no
394461264,WOMEN,81,6,7.40741,no
2147483647,OLD,90,4,4.44444,no
255208133,CHILD,99,3,3.0303,no
40576386,animals,100,10,10,yes
317464730,OLD,89,3,3.37079,no
2147483647,WOMEN,55,7,12.7273,yes
2147483647,animals,100,20,20,yes
2147483647,WOMEN,100,18,18,yes
175924095,OLD,83,1,1.20482,no
2147483647,OLD,73,3,4.10959,no
2147483647,animals,94,6,6.38298,no
2147483647,OLD,99,4,4.0404,no
2147483647,OLD,92,5,5.43478,no
225380961,OLD,97,8,8.24742,yes
2147483647,OLD,100,1,1,no
571664802,WOMEN,100,8,8,no
1513669872,WOMEN,100,3,3,no
2147483647,OLD,96,7,7.29167,no
2147483647,OLD,94,13,13.8298,yes
378333527,OLD,98,4,4.08163,no
253306038,WOMEN,82,2,2.43902,no
870810642,animals,86,9,10.4651,yes
438700880,animals,91,7,7.69231,no
2147483647,OLD,98,13,13.2653,yes
1403799930,OLD,86,4,4.65116,no
566517871,WOMEN,100,5,5,no
460721800,OLD,98,6,6.12245,no
2147483647,OLD,200,10,5,no
1363649713,OLD,100,3,3,no
2147483647,OLD,200,12,6,no
2147483647,OLD,95,1,1.05263,no
342619196,OLD,97,8,8.24742,yes
2147483647,WOMEN,77,22,28.5714,yes
2147483647,WOMEN,82,5,6.09756,no
24264234,WOMEN,66,3,4.54545,no
416392730,OLD,85,10,11.7647,yes
2147483647,WOMEN,16,2,12.5,yes
250200459,WOMEN,94,4,4.25532,no
2147483647,WOMEN,100,8,8,no
2147483647,HEALTH,27,3,11.1111,yes
2147483647,OLD,100,5,5,no
480000259,OLD,75,2,2.66667,no
2147483647,WOMEN,61,4,6.55738,no
320798145,WOMEN,98,6,6.12245,no
37402404,CHILD,79,5,6.32911,no
2147483647,OLD,95,9,9.47368,yes
171877999,WOMEN,89,5,5.61798,no
2147483647,WOMEN,100,5,5,no
2147483647,WOMEN,98,11,11.2245,yes
2147483647,OLD,100,8,8,yes
2147483647,WOMEN,100,6,6,no
137251304,OLD,77,4,5.19481,no
56474422,animals,97,4,4.12371,no
198213286,OLD,85,2,2.35294,no
1363355328,WOMEN,100,41,41,yes
2147483647,OLD,78,7,8.97436,yes
35081268,OLD,98,8,8.16327,yes
1882111435,animals,94,3,3.19149,no
2147483647,OLD,79,6,7.59494,no
2147483647,OLD,89,4,4.49438,no
455929508,animals,83,7,8.43373,no
332003842,WOMEN,99,13,13.1313,yes
230646743,OLD,100,9,9,yes
69948232,WOMEN,98,11,11.2245,yes
2147483647,WOMEN,100,16,16,yes
221595382,OLD,164,10,6.09756,no
2147483647,animals,100,10,10,yes
2147483647,OLD,100,4,4,no
2147483647,HEALTH,100,4,4,no
298156322,OLD,86,2,2.32558,no
2147483647,OLD,100,11,11,yes
95586869,OLD,88,10,11.3636,yes
2147483647,CHILD,95,6,6.31579,no
2147483647,WOMEN,100,5,5,no
2147483647,OLD,87,3,3.44828,no
212610711,CHILD,98,4,4.08163,no
792308114,OLD,56,3,5.35714,no
1378194834,animals,82,4,4.87805,no
2147483647,OLD,78,5,6.41026,no
2147483647,WOMEN,94,27,28.7234,yes
475202656,WOMEN,84,6,7.14286,no
24386434,animals,100,5,5,no
